time(ms),angle_x(deg),angle_y(deg),angle_z(deg),acc_x(g),acc_y(g),acc_z(g),motor_pos
16812,-1.18,-3.85,-122.86,-0.0346,-0.067,-0.9964,263085
16876,-1.19,-3.85,-122.86,-0.0359,-0.0671,-0.9965,242731
16940,-1.19,-3.85,-122.87,-0.0349,-0.067,-0.9967,223229
17004,-1.19,-3.85,-122.87,-0.0351,-0.0669,-0.9966,204497
17067,-1.19,-3.85,-122.87,-0.0354,-0.0671,-0.9965,186689
17131,-1.19,-3.85,-122.86,-0.0354,-0.067,-0.9964,169587
17195,-1.2,-3.85,-122.86,-0.034,-0.0671,-0.9963,153371
17259,-1.2,-3.85,-122.86,-0.0338,-0.0671,-0.9963,137963
17323,-1.2,-3.85,-122.86,-0.0338,-0.0669,-0.9965,123350
17387,-1.2,-3.85,-122.86,-0.0342,-0.0671,-0.9965,109594
17451,-1.2,-3.85,-122.86,-0.0353,-0.067,-0.9967,96591
17515,-1.2,-3.85,-122.86,-0.0377,-0.0669,-0.9967,84431
17579,-2.01,-3.85,-122.86,-0.0369,-0.0671,-0.9966,73134
17643,-2.02,-3.85,-122.86,-0.0352,-0.067,-0.9964,62606
17707,-2.02,-3.85,-122.86,-0.0341,-0.0671,-0.9961,52915
17771,-2.02,-3.85,-122.86,-0.0333,-0.0671,-0.996,44002
17834,-2.02,-3.85,-122.86,-0.0346,-0.067,-0.9961,35938
17898,-2.02,-3.85,-122.86,-0.0349,-0.0671,-0.9962,28738
17962,-2.01,-3.85,-122.86,-0.0343,-0.0671,-0.9962,22319
18026,-1.98,-3.85,-122.86,-0.0345,-0.0671,-0.9963,16692
18090,-1.97,-3.85,-122.86,-0.0342,-0.0672,-0.9966,11897
18154,-1.96,-3.85,-122.86,-0.0344,-0.0671,-0.9966,7890
18218,-1.97,-3.85,-122.86,-0.035,-0.0671,-0.9965,4729
18282,-1.98,-3.85,-122.86,-0.0353,-0.067,-0.9963,2417
18346,-1.99,-3.85,-122.86,-0.0351,-0.067,-0.9962,887
18410,-1.99,-3.85,-122.86,-0.0349,-0.0671,-0.9962,179
18474,-1.99,-3.85,-122.86,-0.0334,-0.0671,-0.9964,9
18538,-1.96,-3.85,-122.86,-0.0266,-0.0671,-0.9963,-1
18601,-1.86,-3.85,-122.86,-0.0186,-0.0672,-0.996,-1
18665,-1.71,-3.85,-122.86,-0.0149,-0.0671,-0.9962,-1
18729,-1.53,-3.85,-122.86,-0.0145,-0.0672,-0.9963,-1
18793,-1.36,-3.85,-122.86,-0.0144,-0.0672,-0.9959,-1
18857,-1.2,-3.85,-122.86,-0.0144,-0.0671,-0.9959,-1
18921,-1.03,-3.86,-122.86,-0.0141,-0.0672,-0.9958,1
18985,-0.9,-3.86,-122.86,-0.0141,-0.0672,-0.996,-1
19049,-0.84,-3.86,-122.86,-0.0142,-0.0671,-0.9964,0
19113,-0.82,-3.86,-122.86,-0.0144,-0.0672,-0.9962,0
19177,-0.82,-3.86,-122.86,-0.0144,-0.0672,-0.9962,-1
19241,-0.82,-3.86,-122.86,-0.0143,-0.0672,-0.9966,1
19304,-0.82,-3.86,-122.86,-0.0142,-0.0673,-0.9964,-1
19368,-0.82,-3.86,-122.86,-0.0142,-0.0672,-0.9962,0
19432,-0.82,-3.86,-122.86,-0.0143,-0.0673,-0.9965,0
19496,-0.82,-3.86,-122.86,-0.0144,-0.0671,-0.9968,-1
19560,-0.82,-3.86,-122.86,-0.0144,-0.0671,-0.9968,1
19624,-0.82,-3.86,-122.86,-0.0143,-0.0672,-0.9965,-1
19688,-0.82,-3.86,-122.86,-0.0142,-0.0672,-0.9962,0
19752,-0.82,-3.86,-122.86,-0.0142,-0.0672,-0.9963,0
19816,-0.82,-3.86,-122.86,-0.0144,-0.0672,-0.9963,-1
19880,-0.82,-3.86,-122.86,-0.0145,-0.0671,-0.9964,1
19944,-0.82,-3.86,-122.86,-0.0144,-0.0672,-0.9966,-1
20008,-0.82,-3.86,-122.86,-0.0142,-0.0672,-0.9968,0
20071,-0.82,-3.86,-122.86,-0.0142,-0.0671,-0.9964,1
20135,-0.82,-3.86,-122.86,-0.0145,-0.0673,-0.9964,-1
20199,-0.82,-3.86,-122.86,-0.0146,-0.0671,-0.9966,1
20263,-0.83,-3.86,-122.86,-0.0145,-0.0672,-0.9963,-1
20327,-0.83,-3.86,-122.86,-0.0143,-0.0672,-0.9964,0
20391,-0.82,-3.86,-122.86,-0.0142,-0.0671,-0.9963,1
20455,-0.82,-3.86,-122.86,-0.0145,-0.0672,-0.9964,-1
20519,-0.83,-3.86,-122.86,-0.0144,-0.0672,-0.9965,1
20583,-0.83,-3.86,-122.86,-0.0142,-0.0671,-0.9964,-1
20647,-0.82,-3.86,-122.86,-0.0142,-0.0672,-0.9965,-1
20711,-0.82,-3.86,-122.86,-0.0144,-0.0672,-0.9967,1
20775,-0.82,-3.86,-122.86,-0.0146,-0.0672,-0.9967,-1
20838,-0.83,-3.86,-122.86,-0.0144,-0.0672,-0.9969,1
20903,-0.82,-3.86,-122.86,-0.0142,-0.0672,-0.9965,0
20966,-0.82,-3.86,-122.86,-0.0142,-0.0673,-0.9962,0
21030,-0.82,-3.86,-122.86,-0.0143,-0.0672,-0.9961,1
21094,-0.82,-3.86,-122.86,-0.0144,-0.0671,-0.9961,-1
21158,-0.82,-3.86,-122.86,-0.0143,-0.0673,-0.9962,1
21222,-0.82,-3.86,-122.86,-0.0143,-0.0671,-0.9962,0
21286,-0.82,-3.86,-122.86,-0.0146,-0.0671,-0.9963,-1
21350,-0.82,-3.86,-122.86,-0.0144,-0.0671,-0.9964,1
21414,-0.83,-3.86,-122.86,-0.0143,-0.0671,-0.9963,-1
21478,-0.83,-3.86,-122.86,-0.0144,-0.0673,-0.9963,0
21541,-0.82,-3.86,-122.86,-0.0143,-0.0672,-0.9965,0
21605,-0.82,-3.86,-122.86,-0.0144,-0.0672,-0.9966,-1
21669,-0.82,-3.86,-122.86,-0.0141,-0.0673,-0.9965,1
21733,-0.82,-3.86,-122.86,-0.014,-0.0671,-0.996,-1
21797,-0.82,-3.86,-122.86,-0.0141,-0.0673,-0.9958,0
21861,-0.81,-3.86,-122.86,-0.0142,-0.0672,-0.996,0
21925,-0.81,-3.86,-122.86,-0.0145,-0.0671,-0.9966,-1
21989,-0.82,-3.86,-122.86,-0.0144,-0.0673,-0.9969,1
22053,-0.82,-3.86,-122.86,-0.0145,-0.0672,-0.9968,-1
22117,-0.82,-3.86,-122.86,-0.0145,-0.0672,-0.9966,0
22181,-0.82,-3.86,-122.86,-0.0144,-0.0672,-0.9965,0
22245,-0.83,-3.86,-122.86,-0.0145,-0.0671,-0.9965,-1
22309,-0.83,-3.86,-122.86,-0.0144,-0.0672,-0.9964,1
22372,-0.83,-3.86,-122.86,-0.0145,-0.0672,-0.9963,-1
22436,-0.83,-3.86,-122.86,-0.0145,-0.0671,-0.9963,0
22500,-0.83,-3.86,-122.86,-0.0144,-0.0673,-0.9961,0
22564,-0.83,-3.86,-122.86,-0.0144,-0.0672,-0.9959,-1
22628,-0.83,-3.86,-122.86,-0.0142,-0.0672,-0.996,1
22692,-0.82,-3.86,-122.86,-0.0142,-0.0672,-0.9963,-1
